PRICE,PREDICTED_DEMAND,REVENUE
10.12,26.418882034928235,267.35908619347373
10.45578947368421,57.94726329303808,605.8843855681549
10.79157894736842,56.54933228113362,610.256583732823
11.127368421052632,51.914750171397266,577.6745516440426
11.463157894736842,24.209561528877224,277.5180263678663
11.798947368421052,23.596578951865276,278.4147931278504
12.134736842105262,30.279495857776197,367.4337139457305
12.470526315789474,43.814002688543475,546.3836735275522
12.806315789473684,45.908134385856016,587.9140662508677
13.142105263157895,27.88431893108582,366.45865458379626
13.477894736842105,36.759593227515865,495.44192808959275
13.813684210526315,99.80310001782016,1378.6485068777408
14.149473684210527,99.80310001782016,1412.1613373047774
14.485263157894737,90.87948260991236,1316.4132212578988
14.821052631578947,78.83938750321165,1168.4827116265474
15.15684210526316,78.83938750321165,1194.9561480618365
15.492631578947368,82.53317743841708,1278.6561110932869
15.82842105263158,81.5033437901207,1290.0692427074157
16.16421052631579,81.5033437901207,1317.4372076222037
16.5,72.37241452991452,1194.1448397435897
